code,ko
7008011,한국폴리텍V대학순천캠퍼스
7008012,한국폴리텍V대학익산캠퍼스
7008013,한국폴리텍V대학목포캠퍼스
7008014,한국폴리텍V대학고창캠퍼스
7008015,한국폴리텍V대학김제캠퍼스
7008016,한국폴리텍VI대학대구캠퍼스
7008017,한국폴리텍VI대학영주캠퍼스
7008018,한국폴리텍VI대학김천캠퍼스
7008019,한국폴리텍VI대학포항캠퍼스
7008020,한국폴리텍VI대학달성캠퍼스
7008021,한국폴리텍VI대학구미캠퍼스
7008022,한국폴리텍VII대학창원캠퍼스
7008023,한국폴리텍VII대학진주캠퍼스
7008024,한국폴리텍VII대학동부산캠퍼스
7008025,한국폴리텍VII대학울산캠퍼스
7008026,한국폴리텍VII대학거창캠퍼스
7008027,한국폴리텍VII대학부산캠퍼스
7008028,경찰대학
7008030,한국폴리텍II대학남인천캠퍼스
7008031,중원대학교
7008032,한독미디어대학원대학교
7008034,디지털서울문화예술대학교
7008036,강원도립대학
7008038,정화예술대학
7008040,국제예술대학
7008041,과학기술연합대학원대학교
7008042,경남도립남해대학
7008045,강릉원주대학교
7008047,차의과학대학교
7008048,충북도립대학
7008049,화신사이버대학교
7008050,대전신학대학교
7008052,한국농업대학
7008053,용문상담심리대학원대학교
7008055,한국승강기대학
7008058,글로벌사이버대학교
7008061,순복음총회신학교
7008063,김천대학교
7008064,김천대학교산학협력단
7008065,고려사이버대학교
7008066,한국상담대학원대학교
7008067,육군3사관학교
7008069,서울과학기술대학교
7008070,한국복지사이버대학
7008071,경남과학기술대학교
7008072,창원문성대학
7008073,한국골프대학
7008078,송원대학교
7008080,꽃동네대학교
7008081,선교청대학교
7008082,국제사이버대학교
7008083,서울제일대학원대학교
7008084,마산대학교
7008085,상지영서대학교
7008086,대동대학교
7008087,광주보건대학교
7008088,서영대학교
7008089,혜천대학교
7008090,대원대학교
7008091,동서울대학교
7008092,포항대학교
7008093,경복대학교
7008094,장안대학교
7008095,제주한라대학교
7008096,부천대학교
7008097,부산경상대학교
7008098,전주비전대학교
7008099,동의과학대학교
7008100,강동대학교
7008101,대림대학교
7008102,인천재능대학교
7008103,대구보건대학교
7008104,동주대학교
7008105,주안대학원대학교
7008106,대구과학대학교
7008107,한국승강기대학교
7008108,신안산대학교
7008109,동강대학교
7008110,울산과학대학교
7008111,한림성심대학교
7008112,경북전문대학교
7008113,진주보건대학교
7008114,경기과학기술대학교
7008115,경산1대학교
7008116,제주관광대학교
7008117,부산여자대학교
7008118,동남보건대학교
7008119,신흥대학교
7008120,공주영상대학교
7008121,목포과학대학교
7008122,건양사이버대학교
7008123,원광보건대학교
7008124,문경대학교
7008125,거제대학교
7008126,전북과학대학교
7008127,국제대학교
7008128,한국교통대학교
7008129,안산대학교
7008130,신구대학교
7008131,경북과학대학교
7008132,백석문화대학교
7008133,춘해보건대학교
7008134,충청대학교
7008135,가톨릭상지대학교
7008136,송곡대학교
7008137,대구공업대학교
7008138,한양여자대학교
7008139,양산대학교
7008140,동부산대학교
7008141,송호대학교
7008142,순천제일대학교
7008143,가천대학교
7008144,서라벌대학교
7008145,청암대학교
7008146,배화여자대학교
7008147,농협대학교
7008148,광양보건대학교
7008149,인덕대학교
7008150,세경대학교
7008152,용인송담대학교
7008153,선린대학교
7008154,동아인재대학교
7008155,경민대학교
7008156,영남이공대학교
7008157,부산과학기술대학교
7008158,혜전대학교
7008159,구미대학교
7008160,조선이공대학교
7008161,조선간호대학교
7008162,기독간호대학교
7008163,제주국제대학교
7008164,오산대학교
7008166,여주대학교
7008167,수원과학대학교
7008168,백제예술대학교
7008169,안동과학대학교
7008170,계원예술대학교
7008171,경인여자대학교
7008172,경남정보대학교
7008173,한국전력국제원자력대학원대학교
7008174,수성대학교
7008175,동양미래대학교
7008176,대전보건대학교
7008177,두원공과대학교
7008178,대구미래대학교
7008179,서울예술대학교
7008180,유한대학교
7008181,연성대학교
7008182,강원관광대학교
7008183,전남과학대학교
7008184,세한대학교
7008185,숭실사이버대학교
7008186,서울벤처대학원대학교
7008187,동아방송예술대학교
7008188,김천과학대학교
7008189,삼육보건대학교
7008190,부산예술대학교
7008191,한국전통문화대학교
7008192,동원대학교
7008193,김포대학교
7008194,성덕대학교
7008196,숭의여자대학교
7008197,한국관광대학교
7008198,한국복지대학교
7008200,대경대학교
7008201,고구려대학교
7008202,충북보건과학대학교
7008203,김해대학교
7008204,수원여자대학교
7008205,서울여자간호대학교
7008206,웅지세무대학교
7008207,강릉영동대학교
7008208,한국폴리텍대학신기술연수센터
7008209,서일대학교
7008210,한국영상대학교
7008211,계명문화대학교
7008212,창신대학교
7008213,군산간호대학교
