code,ko,en,cn
1121080,청룡동,Cheongnyong-dong,靑龍洞
1121081,난곡동,Nangok-dong,蘭谷洞
1121082,삼성동,Samseong-dong,三聖洞
1121083,미성동,Miseong-dong,美星洞
11220,서초구,Seocho-gu,瑞草區
1122051,서초1동,Seocho 1(il)-dong,瑞草1洞
1122052,서초2동,Seocho 2(i)-dong,瑞草2洞
1122053,서초3동,Seocho 3(sam)-dong,瑞草3洞
1122054,서초4동,Seocho 4(sa)-dong,瑞草4洞
1122055,잠원동,Jamwon-dong,蠶院洞
1122056,반포본동,Banpobon-dong,盤浦本洞
1122057,반포1동,Banpo 1(il)-dong,盤浦1洞
1122058,반포2동,Banpo 2(i)-dong,盤浦2洞
1122059,반포3동,Banpo 3(sam)-dong,盤浦3洞
1122060,반포4동,Banpo 4(sa)-dong,盤浦4洞
1122061,방배본동,Bangbaebon-dong,方背本洞
1122062,방배1동,Bangbae 1(il)-dong,方背1洞
1122063,방배2동,Bangbae 2(i)-dong,方背2洞
1122064,방배3동,Bangbae 3(sam)-dong,方背3洞
1122065,방배4동,Bangbae 4(sa)-dong,方背4洞
1122066,양재1동,Yangjae 1(il)-dong,良才1洞
1122067,양재2동,Yangjae 2(i)-dong,良才2洞
1122068,내곡동,Naegok-dong,內谷洞
11230,강남구,Gangnam-gu,江南區
1123051,신사동,Sinsa-dong,新沙洞
1123052,논현1동,Nonhyeon 1(il)-dong,論峴1洞
1123053,논현2동,Nonhyeon 2(i)-dong,論峴2洞
1123058,삼성1동,Samseong 1(il)-dong,三成1洞
1123059,삼성2동,Samseong 2(i)-dong,三成2洞
1123060,대치1동,Daechi 1(il)-dong,大峙1洞
1123063,대치4동,Daechi 4(sa)-dong,大峙4洞
1123064,역삼1동,Yeoksam 1(il)-dong,驛三1洞
1123065,역삼2동,Yeoksam 2(i)-dong,驛三2洞
1123066,도곡1동,Dogok 1(il)-dong,道谷1洞
1123067,도곡2동,Dogok 2(i)-dong,道谷2洞
1123068,개포1동,Gaepo 1(il)-dong,開浦1洞
1123071,개포4동,Gaepo 4(sa)-dong,開浦4洞
1123072,일원본동,Irwonbon-dong,逸院本洞
1123073,일원1동,Irwon 1(il)-dong,逸院1洞
1123074,일원2동,Irwon 2(i)-dong,逸院2洞
1123075,수서동,Suseo-dong,水西洞
1123076,세곡동,Segok-dong,細谷洞
1123077,압구정동,Apgujeong-dong,狎鷗亭洞
1123078,청담동,Cheongdam-dong,淸潭洞
1123079,대치2동,Daechi 2(i)-dong,大峙2洞
1123080,개포2동,Gaepo 2(i)-dong,開浦2洞
11240,송파구,Songpa-gu,松坡區
1124051,풍납1동,Pungnap 1(il)-dong,風納1洞
1124052,풍납2동,Pungnap 2(i)-dong,風納2洞
1124053,거여1동,Geoyeo 1(il)-dong,巨餘1洞
1124054,거여2동,Geoyeo 2(i)-dong,巨餘2洞
1124055,마천1동,Macheon 1(il)-dong,馬川1洞
1124056,마천2동,Macheon 2(i)-dong,馬川2洞
1124057,방이1동,Bangi 1(il)-dong,芳夷1洞
1124058,방이2동,Bangi 2(i)-dong,芳夷2洞
1124059,오륜동,Oryun-dong,五輪洞
1124060,오금동,Ogeum-dong,梧琴洞
1124061,송파1동,Songpa 1(il)-dong,松坡1洞
1124062,송파2동,Songpa 2(i)-dong,松坡2洞
1124063,석촌동,Seokchon-dong,石村洞
1124064,삼전동,Samjeon-dong,三田洞
1124065,가락본동,Garakbon-dong,可樂本洞
1124066,가락1동,Garak 1(il)-dong,可樂1洞
1124067,가락2동,Garak 2(i)-dong,可樂2洞
1124068,문정1동,Munjeong 1(il)-dong,文井1洞
1124069,문정2동,Munjeong 2(i)-dong,文井2洞
1124070,장지동,Jangji-dong,長旨洞
1124071,잠실본동,Jamsilbon-dong,蠶室本洞
1124075,잠실4동,Jamsil 4(sa)-dong,蠶室4洞
1124077,잠실6동,Jamsil 6(yuk)-dong,蠶室6洞
1124078,잠실7동,Jamsil 7(chil)-dong,蠶室7洞
1124079,잠실2동,Jamsil 2(i)-dong,蠶室2洞
1124080,잠실3동,Jamsil 3(sam)-dong,蠶室3洞
11250,강동구,Gangdong-gu,江東區
1125051,강일동,Gangil-dong,江一洞
1125052,상일동,Sangil-dong,上一洞
1125053,명일1동,Myeongil 1(il)-dong,明逸1洞
1125054,명일2동,Myeongil 2(i)-dong,明逸2洞
1125055,고덕1동,Godeok 1(il)-dong,古德1洞
1125056,고덕2동,Godeok 2(i)-dong,古德2洞
1125058,암사2동,Amsa 2(i)-dong,岩寺2洞
1125059,암사3동,Amsa 3(sam)-dong,岩寺3洞
1125061,천호1동,Cheonho 1(il)-dong,千戶1洞
1125063,천호3동,Cheonho 3(sam)-dong,千戶3洞
1125065,성내1동,Seongnae 1(il)-dong,城內1洞
1125066,성내2동,Seongnae 2(i)-dong,城內2洞
1125067,성내3동,Seongnae 3(sam)-dong,城內3洞
1125070,둔촌1동,Dunchon 1(il)-dong,遁村1洞
1125071,둔촌2동,Dunchon 2(i)-dong,遁村2洞
1125072,암사1동,Amsa 1(il)-dong,岩寺1洞
1125073,천호2동,Cheonho 2(i)-dong,千戶2洞
1125074,길동,Gil-dong,吉洞
21,부산광역시,Busan,釜山廣域市
21010,중구,Jung-gu,中區
2101051,중앙동,Jungang-dong,中央洞
2101052,동광동,Donggwang-dong,東光洞
2101053,대청동,Daecheong-dong,大廳洞
2101054,보수동,Bosu-dong,寶水洞
2101056,부평동,Bupyeong-dong,富平洞
2101057,광복동,Gwangbok-dong,光復洞
2101058,남포동,Nampo-dong,南浦洞
2101059,영주1동,Yeongju 1(il)-dong,瀛州1洞
2101060,영주2동,Yeongju 2(i)-dong,瀛州2洞
21020,서구,Seo-gu,西區
2102051,동대신1동,Dongdaesin 1(il)-dong,東大新1洞
2102052,동대신2동,Dongdaesin 2(i)-dong,東大新2洞
2102053,동대신3동,Dongdaesin 3(sam)-dong,東大新3洞
2102054,서대신1동,Seodaesin 1(il)-dong,西大新1洞
2102056,서대신3동,Seodaesin 3(sam)-dong,西大新3洞
2102057,서대신4동,Seodaesin 4(sa)-dong,西大新4洞
2102059,부민동,Bumin-dong,富民洞
2102061,아미동,Ami-dong,峨嵋洞
2102063,초장동,Chojang-dong,草場洞
2102064,충무동,Chungmu-dong,忠武洞
2102065,남부민1동,Nambumin 1(il)-dong,南富民1洞
2102068,암남동,Amnam-dong,岩南洞
2102069,남부민2동,Nambumin 2(i)-dong,南富民2洞
21030,동구,Dong-gu,東區
2103051,초량1동,Choryang 1(il)-dong,草梁1洞
2103052,초량2동,Choryang 2(i)-dong,草梁2洞
2103053,초량3동,Choryang 3(sam)-dong,草梁3洞
2103055,초량6동,Choryang 6(yuk)-dong,草梁6洞
2103056,수정1동,Sujeong 1(il)-dong,水晶1洞
2103057,수정2동,Sujeong 2(i)-dong,水晶2洞
2103059,수정4동,Sujeong 4(sa)-dong,水晶4洞
2103060,수정5동,Sujeong 5(o)-dong,水晶5洞
2103061,좌천1동,Jwacheon 1(il)-dong,佐川1洞
2103064,좌천4동,Jwacheon 4(sa)-dong,佐川4洞
2103065,범일1동,Beomil 1(il)-dong,凡一1洞
2103066,범일2동,Beomil 2(i)-dong,凡一2洞
2103067,범일4동,Beomil 4(sa)-dong,凡一4洞
2103068,범일5동,Beomil 5(o)-dong,凡一5洞
21040,영도구,Yeongdo-gu,影島區
2104053,남항동,Namhang-dong,南港洞
2104054,영선1동,Yeongseon 1(il)-dong,瀛仙1洞
2104055,영선2동,Yeongseon 2(i)-dong,瀛仙2洞
2104059,봉래1동,Bongnae 1(il)-dong,蓬萊1洞
2104069,봉래2동,Bongnae 2(i)-dong,蓬萊2洞
2104063,청학1동,Cheonghak 1(il)-dong,靑鶴1洞
2104064,청학2동,Cheonghak 2(i)-dong,靑鶴2洞
2104065,동삼1동,Dongsam 1(il)-dong,東三1洞
