assembly_id,name,url
2,원세훈,/wiki/%EC%9B%90%EC%84%B8%ED%9B%88_(1887%EB%85%84)
2,유승준,/wiki/%EC%9C%A0%EC%8A%B9%EC%A4%80_(1910%EB%85%84)
2,육홍균,/wiki/%EC%9C%A1%ED%99%8D%EA%B7%A0
2,윤기섭,/wiki/%EC%9C%A4%EA%B8%B0%EC%84%AD
2,윤길중,/wiki/%EC%9C%A4%EA%B8%B8%EC%A4%91
2,윤담,/wiki/%EC%9C%A4%EB%8B%B4
2,윤성순,/wiki/%EC%9C%A4%EC%84%B1%EC%88%9C
2,윤영선,/wiki/%EC%9C%A4%EC%98%81%EC%84%A0_(1904%EB%85%84)
2,윤재근,/wiki/%EC%9C%A4%EC%9E%AC%EA%B7%BC
2,윤치영,/wiki/%EC%9C%A4%EC%B9%98%EC%98%81
2,윤택중,/wiki/%EC%9C%A4%ED%83%9D%EC%A4%91
2,이갑성,/wiki/%EC%9D%B4%EA%B0%91%EC%84%B1
2,이교선,/wiki/%EC%9D%B4%EA%B5%90%EC%84%A0_(1905%EB%85%84)
2,이교승,/wiki/%EC%9D%B4%EA%B5%90%EC%8A%B9_(1899%EB%85%84)
2,이규갑,/wiki/%EC%9D%B4%EA%B7%9C%EA%B0%91
2,이긍종,/wiki/%EC%9D%B4%EA%B8%8D%EC%A2%85
2,이도영,/w/index.php?title=%EC%9D%B4%EB%8F%84%EC%98%81_(1913%EB%85%84)&action=edit&redlink=1
2,이동환,/wiki/%EC%9D%B4%EB%8F%99%ED%99%98_(1906%EB%85%84)
2,이범승,/wiki/%EC%9D%B4%EB%B2%94%EC%8A%B9
2,이병홍,/wiki/%EC%9D%B4%EB%B3%91%ED%99%8D
2,이상경,/wiki/%EC%9D%B4%EC%83%81%EA%B2%BD_(1902%EB%85%84)
2,이상철,/wiki/%EC%9D%B4%EC%83%81%EC%B2%A0_(1893%EB%85%84)
2,이석기,/w/index.php?title=%EC%9D%B4%EC%84%9D%EA%B8%B0_(1907%EB%85%84)&action=edit&redlink=1
2,이시목,/wiki/%EC%9D%B4%EC%8B%9C%EB%AA%A9
